ProjectUUID,PersonUUID,Role
a075adc0-abb3-430c-8035-95fc7a8b8250,37d49222-56d7-4c65-8d52-3638544511cf,Principal Investigator
a075adc0-abb3-430c-8035-95fc7a8b8250,3b99f4b4-0782-4c43-8bb3-263f498133a3,Co-Investigator
a075adc0-abb3-430c-8035-95fc7a8b8250,88507577-fe21-433b-8253-c6115383730b,Co-Investigator
78e0e2e2-82fd-412e-b4ff-aa7f46dca3d4,689427b5-8d2a-44f3-b291-6db6ba598305,Principal Investigator
78e0e2e2-82fd-412e-b4ff-aa7f46dca3d4,80784458-06f6-4eff-b0c8-df982ffa9835,Co-Investigator
190c1b56-5561-4a2a-88e1-d4aab076ddff,1e0534b4-fe3e-4c5e-ad6d-5f1c7df6a14e,Co-Investigator
190c1b56-5561-4a2a-88e1-d4aab076ddff,f6921641-1f0a-4e24-a3a9-546e3927ab72,Co-Investigator
6ef75dd3-ea0c-4db9-af19-bdd91397d783,d30b96a8-4f1e-44fa-9bf5-0209bedf0268,Principal Investigator
8296a97c-b8a8-497a-b23e-6d60f337d391,4d7fda5a-3cf4-4d39-9daf-1ae192b0e0e7,Principal Investigator
610fe295-e17f-415b-b874-267047f0d4ca,2a9c0934-98ca-4101-b829-b88d77f6487e,Principal Investigator
610fe295-e17f-415b-b874-267047f0d4ca,7dd48cfe-3069-4563-bef4-ef661c18387a,Co-Investigator
610fe295-e17f-415b-b874-267047f0d4ca,f06ed23d-b6d0-4af9-bb74-ecbcd6ca0c47,Co-Investigator
cda0274e-252f-4c43-acb3-04504dbb74b4,1052b289-f510-4c5a-9662-2db48c12ebc2,Principal Investigator
07548a95-a062-420a-9a8c-0073892e3826,1313519f-2074-41d6-8b79-589648e37211,Principal Investigator
07548a95-a062-420a-9a8c-0073892e3826,5c50bbc9-ed3d-417f-ba4d-e484eaf536b3,Co-Investigator
a2f4b3e2-31c0-4a77-a4cc-05980e763c2d,f2136570-f73c-446f-9fb0-6d9e461e2124,Principal Investigator
6a47283a-c073-4d31-be9b-92c1d3b59e6f,2a9c0934-98ca-4101-b829-b88d77f6487e,Principal Investigator
6a47283a-c073-4d31-be9b-92c1d3b59e6f,8785f18a-1bf3-4c63-8d8b-d3e5d516ca40,Co-Investigator
6a47283a-c073-4d31-be9b-92c1d3b59e6f,a420ffb3-2ca6-4925-a25f-baaa5228fc15,Principal Investigator
