paperUUID,expertUUID,role,name,lastname
3024c838-4cb0-4a14-b533-e1796ad57c2f,1313519f-2074-41d6-8b79-589648e37211,Author,Carsten,Schürmann
2403e43f-4266-412d-9a8d-0b094e9b5129,1313519f-2074-41d6-8b79-589648e37211,Author,Carsten,Schürmann
26478c02-7cf5-49fd-bdc7-ae6fc28388f1,1313519f-2074-41d6-8b79-589648e37211,Author,Carsten,Schürmann
ea045b1f-58b4-4a48-b23b-6f247988571b,1313519f-2074-41d6-8b79-589648e37211,Author,Carsten,Schürmann
ea045b1f-58b4-4a48-b23b-6f247988571b,,Author,Jian,Wang
8d174c7c-ab0c-4804-afb6-7a869bdf9349,1313519f-2074-41d6-8b79-589648e37211,Author,Carsten,Schürmann
a25bd25f-9e39-4060-a6ed-9a6561274273,1313519f-2074-41d6-8b79-589648e37211,Author,Carsten,Schürmann
a25bd25f-9e39-4060-a6ed-9a6561274273,,Author,Taus,Brock-Nannestad
a25bd25f-9e39-4060-a6ed-9a6561274273,,Author,Nicolas,Guenot
a25bd25f-9e39-4060-a6ed-9a6561274273,,Author,Agata,Murawska
da225142-8287-4938-9305-5a49b8a9ea9a,1313519f-2074-41d6-8b79-589648e37211,Author,Carsten,Schürmann
c8ee03b4-7253-459f-a161-920079134c65,1313519f-2074-41d6-8b79-589648e37211,Author,Carsten,Schürmann
07805819-90b9-4b2b-8253-561f44db0b7b,1313519f-2074-41d6-8b79-589648e37211,Author,Carsten,Schürmann
07805819-90b9-4b2b-8253-561f44db0b7b,,Author,Jian,Wang
c2d3cac5-19dd-4d27-8099-36d9f10c85ae,1313519f-2074-41d6-8b79-589648e37211,Author,Carsten,Schürmann
bdbc5f0f-4a88-4bc6-a6a9-34233571d31c,1313519f-2074-41d6-8b79-589648e37211,Author,Carsten,Schürmann
19705f62-b4be-47bd-934d-adb84ce20354,1313519f-2074-41d6-8b79-589648e37211,Author,Carsten,Schürmann
c86c121f-79b3-4c11-9ac2-da5072741ac6,1313519f-2074-41d6-8b79-589648e37211,Author,Carsten,Schürmann
c86c121f-79b3-4c11-9ac2-da5072741ac6,,Author,Jian,Wang
47aff0da-f801-49f9-ab86-20afecd99687,1313519f-2074-41d6-8b79-589648e37211,Author,Carsten,Schürmann
47aff0da-f801-49f9-ab86-20afecd99687,,Author,Randi,Markussen
47aff0da-f801-49f9-ab86-20afecd99687,,Author,Olivier,Bélanger
47aff0da-f801-49f9-ab86-20afecd99687,,Author,Lorena,Ronquillo
941ea277-9653-4d57-866b-38f1244438d4,1313519f-2074-41d6-8b79-589648e37211,Author,Carsten,Schürmann
