paperUUID,expertUUID,role,name,lastname
ae8d2f6a-0d20-4fe6-825d-54f2ef6a877a,cfb0029a-04d0-4606-810f-bf6d6777171b,Author,Luigi,Arminio
bbaa564a-5dd3-4453-9db4-4ab906bd4abc,1b45e3f5-b8cd-4c0d-a444-2901304f76ee,Author,Luca,Rossi
711b7aa9-ba25-41fd-a7de-0ea50623a21f,831421c0-027f-4a25-b795-ee2fce0c8d2a,Author,Louise,Barkhuus
fe32770e-fc00-4f0d-beac-98dcf0f17eea,831421c0-027f-4a25-b795-ee2fce0c8d2a,Author,Louise,Barkhuus
d87a66cf-d0c6-4663-ac26-c7b24acd2b23,831421c0-027f-4a25-b795-ee2fce0c8d2a,Author,Louise,Barkhuus
f01bbea4-00b4-40e3-91cf-d88d7dad46f2,831421c0-027f-4a25-b795-ee2fce0c8d2a,Author,Louise,Barkhuus
8a3ee74c-6fec-49b7-b060-f590da771f3f,,Author,Martin Tvede,Zachariasen
3ed6d2e2-be14-42e3-a202-73d407c8934a,ab7600cd-0bd2-4d86-9def-2c6fd1ade1c5,Author,Eva,Rotenberg
3ed6d2e2-be14-42e3-a202-73d407c8934a,ad9a85fb-d2fc-4c47-a486-1cc30be3a555,Author,Juliette,Vlieghe
f6c5f595-66fe-4153-b3b0-23ed254369c0,efa39e70-a80a-4780-b151-ba31b01726bb,Author,Per B.,Brockhoff
56fd1d5b-f1f7-4b35-9cac-50cc39e32af6,efa39e70-a80a-4780-b151-ba31b01726bb,Author,Per B.,Brockhoff
1367ea8a-4539-4af8-84e7-5a7c4ca511ad,efa39e70-a80a-4780-b151-ba31b01726bb,Author,Per B.,Brockhoff
076cf596-2d50-4665-9248-6b2cde0fc058,efa39e70-a80a-4780-b151-ba31b01726bb,Author,Per B.,Brockhoff
23a0c289-4b8a-4258-8b11-3d5b44c638f6,,Author,Javier,San Agustin
da6e2236-eb6c-4468-918d-4907c16c869b,8bd9b364-d90f-486f-9965-84cd3dc63ca3,Author,Maria Sinziana,Astefanoaei
d5430924-cafe-467a-9495-8e57a8c8a4f0,805cae2a-3462-4130-88de-cc7d94aec0a5,Author,Vasiliki,Tsaknaki
442ee133-3d57-4d19-b3fd-71d2a8c27c81,,Author,Ester,Fritsch
d3f53407-63ec-49e6-8509-d3509f8569f9,1abda59f-c493-4824-a7b1-7470d66f08d1,Author,Stefan,Heinrich
