Course Name,Course Summary,Abstract,Description,ECTS,Semester,Language,Exam,Teacher,Programme,Single Subject,Guest Students
Advanced Service Design,Service design theory is used for critically reflecting the use of service design methods covered in the first part of the specialization. A mix of theory and a hands-on approach to service design. The course will allow the students to discuss and apply design methods and a broad set of theory in order to both design and evaluate service,Service design theory is used for critically reflecting the use of service design methods covered in the first part of the specialization. A mix of theory and a hands-on approach to service design. The course will allow the students to discuss and apply design methods and a broad set of theory in order to both design and evaluate service,"The course is case based, meaning the students are expected to develop and showcase distinct projects applying appropriate research methods throughout the semester in order to deepen their knowledge of the discipline. A range of theoretical concepts will be introduced and the student is expected to use and reflect on the presented theory during class and in their project cases.",15,Autumn 2019,English,"D: Submission of written work with following oral, External (7-point scale)",Joanna Saad-Sulonen,MSc in Digital Design and Interactive Technologies,No,No
Advanced Service Design,Service design theory is used for critically reflecting the use of service design methods covered in the first part of the specialisation. A mix of theory and a hands-on approach to service design. The course will allow the students to discuss and apply design methods and a broad set of theory in order to both design and evaluate service.,Service design theory is used for critically reflecting the use of service design methods covered in the first part of the specialisation. A mix of theory and a hands-on approach to service design. The course will allow the students to discuss and apply design methods and a broad set of theory in order to both design and evaluate service.,"The course is case based, meaning the students are expected to develop and showcase distinct projects applying appropriate research methods throughout the semester in order to deepen their knowledge of the discipline. A range of theoretical concepts will be introduced and the student is expected to use and reflect on the presented theory during class and in their project cases.",15,Autumn 2020,English,"C: Submission of written work, External (7-point scale)",Joanna Saad-Sulonen,MSc in Digital Design and Interactive Technologies,No,No
Advanced Service Design,Service design theory is used for critically reflecting on the use of service design methods covered in the first part of the specialisation. The course offers a mix of theory and hands-on approach to service design. The students discuss and apply design methods and a broad set of theory in order to both design and evaluate services.,Service design theory is used for critically reflecting on the use of service design methods covered in the first part of the specialisation. The course offers a mix of theory and hands-on approach to service design. The students discuss and apply design methods and a broad set of theory in order to both design and evaluate services.,"The course is case based, meaning the students are expected to develop and showcase distinct projects applying appropriate research methods throughout the semester in order to deepen their knowledge of the discipline. A range of theoretical concepts will be introduced and the student is expected to use and reflect on the presented theory during class and in their project cases.",15,Autumn 2021,English,"C: Submission of written work, External (7-point scale)",Helena Karasti,MSc in Digital Design and Interactive Technologies,No,No
Advanced Service Design,"The course builds on the previous Introduction to Service Design course and takes an in-depth look into a selected set of current topics in service design. The course offers an advanced mix of theory and hands-on approach to service design. The students apply service design principles, methods, and processes as well as critically reflect their positioning and experiences as designers in analyzing, designing and evaluating services.","The course builds on the previous Introduction to Service Design course and takes an in-depth look into a selected set of current topics in service design. The course offers an advanced mix of theory and hands-on approach to service design. The students apply service design principles, methods, and processes as well as critically reflect their positioning and experiences as designers in analyzing, designing and evaluating services.","The course is case based, meaning that a design project with external case partners serves as a foundation for learning activities. The students are expected to develop and showcase distinct projects applying appropriate research and design methods throughout the semester. Integration of selected academic and professional literature will deepen students’ knowledge of the discipline. The course will develop students’ capabilities, creativity and criticality as service designers.",15,Autumn 2022,English,"C: Submission of written work, External (7-point scale)",Joanna Saad-Sulonen,MSc in Digital Design and Interactive Technologies,No,No
Advanced Service Design,"The course builds on the previous Introduction to Service Design course and takes an in-depth look into a selected set of current topics in service design. The course offers an advanced mix of theory and hands-on approach to service design. The students apply service design principles, methods, and processes as well as critically reflect their positioning and experiences as designers in analyzing, designing and evaluating services.","The course builds on the previous Introduction to Service Design course and takes an in-depth look into a selected set of current topics in service design. The course offers an advanced mix of theory and hands-on approach to service design. The students apply service design principles, methods, and processes as well as critically reflect their positioning and experiences as designers in analyzing, designing and evaluating services.","The course is case based, meaning that a design project with external case partners serves as a foundation for learning activities. The students are expected to develop and showcase distinct projects applying appropriate research and design methods throughout the semester. Integration of selected academic and professional literature will deepen students’ knowledge of the discipline. The course will develop students’ capabilities, creativity and criticality as service designers.",15,Autumn 2023,English,"C: Submission of written work, External (7-point scale)",Thomas Binder,MSc in Digital Design and Interactive Technologies,No,No
Advanced Service Design (Autumn 2019),,,,0,Autumn 2019,,,,K-DDIT:Master of Science in Information Technology (Digital Design and Interactive Technologies),No,No
Advanced Service Design (Autumn 2020),,,,0,Autumn 2020,,,,K-DDIT:Master of Science in Information Technology (Digital Design and Interactive Technologies),No,No
Advanced Service Design (Autumn 2021),,,,0,Autumn 2021,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
Advanced Service Design (Autumn 2022),,,,0,Autumn 2022,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
Advanced Service Design (Autumn 2023),,,,0,Autumn 2023,,,,K-DDIT:MSc in Digital Design and Interactive Technologies,No,No
Advanced Sketching and Prototyping (Spring 2017),,,,0,Spring 2017,,,,"KDDK:M.Sc. in IT, Digital Design and Communication",No,No
Advanced Software Analysis,"This course focuses on interactive and automated software analysis. It covers a wide range of skills required to develop tools that automatically analyse software (such as “Coverity” and Facebook’s “Infer code analysis tool) to using tools where you interactively prove correctness of programs (used by e.g. Microsoft, Intel, Google, and Amazon).","This course focuses on interactive and automated software analysis. It covers a wide range of skills required to develop tools that automatically analyse software (such as “Coverity” and Facebook’s “Infer code analysis tool) to using tools where you interactively prove correctness of programs (used by e.g. Microsoft, Intel, Google, and Amazon).","This course is the final course for the Software Analysis specialisation. It gets students as close as possible to the current research in the field. We focus heavily on practical design and implementation. For the automated parts we will implement tools for automatic verification. This includes tools for analysing control flow and being able to detect bugs like possible null-pointer dereferencing or eliminating dead code. We will show how to do this in a scalable and modular way. For the interactive parts we will use and be aided by the interactive proof assistant Coq — nearly all proofs we do in this course will be aided by Coq which in effect means that all of your calculations will be checked for you, greatly reducing the risk of human error (it’s also incredibly addictive). These types of tools are used in industry and has, for instance, been used to prove the correctness of an optimising C-compiler and an SeL4 micro kernel.",15,Autumn 2019,English,"D: Submission of written work with following oral, External (7-point scale)",Jesper Bengtson,MSc in Computer Science,No,No
